Ticket,Status,Category,Country,Time
2547329,Open,Faults and Issues,Lithuania,31/12/2017 22:06
2547329,PriorityChange,Faults and Issues,Lithuania,31/12/2017 22:06
2547329,Assign,Faults and Issues,Lithuania,31/12/2017 22:06
2547329,Approved,Faults and Issues,Lithuania,31/12/2017 22:06
2547329,Dispatched,Faults and Issues,Lithuania,31/12/2017 22:07
2547329,AssigneeChange,Faults and Issues,Lithuania,1/01/2018 23:25
2547329,IncidentUpdate,Faults and Issues,Lithuania,1/01/2018 23:25
2547329,IncidentUpdate,Faults and Issues,Lithuania,1/01/2018 23:38
2547329,IncidentUpdate,Faults and Issues,Lithuania,1/01/2018 23:44
2547329,IncidentUpdate,Faults and Issues,Lithuania,2/01/2018 5:36
2547329,Suspended,Faults and Issues,Lithuania,2/01/2018 21:31
2547329,Suspended,Faults and Issues,Lithuania,2/01/2018 21:31
2547329,IncidentUpdate,Faults and Issues,Lithuania,2/01/2018 21:31
2547329,ResolvedTimeChange,Faults and Issues,Lithuania,8/01/2018 0:27
2547329,Resolved,Faults and Issues,Lithuania,8/01/2018 0:27
2547329,Unsuspended,Faults and Issues,Lithuania,8/01/2018 0:27
2547329,Closed,Faults and Issues,Lithuania,16/01/2018 17:18
2547329,Closed,Faults and Issues,Lithuania,16/01/2018 17:18
2548191,Open,Software installation,Lithuania,2/01/2018 21:30
2548191,PriorityChange,Software installation,Lithuania,2/01/2018 21:30
2548191,Assign,Software installation,Lithuania,2/01/2018 21:30
2548191,pending,Software installation,Lithuania,2/01/2018 21:30
2548191,Approved,Software installation,Lithuania,2/01/2018 21:30
2548191,InProgress,Software installation,Lithuania,2/01/2018 21:30
2548191,Dispatched,Software installation,Lithuania,2/01/2018 21:32
2548191,ChangeUpdate,Software installation,Lithuania,3/01/2018 2:16
2548191,AssigneeChange,Software installation,Lithuania,3/01/2018 3:39
2548191,ResolvedTimeChange,Software installation,Lithuania,3/01/2018 3:39
2548191,Resolved,Software installation,Lithuania,3/01/2018 3:39
2548191,Closed,Software installation,Lithuania,11/01/2018 5:28
