case_id,start,end,duration,activity
1,01:24,07:29,06:04,private
1,07:29,57:16,49:47,offline
1,57:16,01:25,04:09,copyFiles
1,01:25,01:52,00:26,browsing
2,01:52,02:17,00:25,printing
2,02:17,11:25,09:08,copyFiles
2,11:25,13:58,02:32,browsing
3,13:58,16:07,02:09,browsing
3,16:07,00:15,44:07,offline
3,00:15,00:36,00:21,browsing
3,00:37,00:57,00:20,copyFiles
4,00:57,01:48,00:50,mailing
4,01:48,02:42,00:54,browsing
4,02:42,06:24,03:41,breaks
4,06:24,08:03,01:39,browsing
5,08:03,14:09,06:06,private
5,14:09,18:49,04:39,breaks
5,18:49,02:47,43:58,meeting
5,02:47,10:07,07:20,offline
5,10:07,11:08,01:01,mailing
5,11:08,15:00,03:51,copyFiles
6,15:00,17:26,02:26,private
6,17:26,19:37,02:10,browsing
6,19:37,26:25,06:48,browsing
6,26:25,21:22,54:57,meeting
6,21:22,29:09,07:46,private
7,29:09,03:20,34:11,meeting
7,03:20,04:11,00:50,mailing
7,04:11,05:32,01:20,mailing
7,05:32,06:42,01:10,mailing
8,06:42,07:43,01:00,mailing
8,07:43,11:14,03:30,browsing
8,11:14,14:51,03:36,copyFiles
8,14:51,24:09,09:18,copyFiles
9,24:09,25:10,01:00,mailing
9,25:10,35:55,10:45,meeting
9,35:55,39:38,03:43,copyFiles
9,39:38,53:05,13:26,copyFiles
9,53:05,54:39,01:34,copyFiles
10,54:39,55:52,01:13,browsing
10,55:52,56:06,00:13,browsing
10,56:06,57:07,01:00,mailing
10,57:07,42:06,44:59,meeting
11,42:06,04:59,22:53,meeting
11,04:59,07:16,02:16,private
11,07:16,08:06,00:50,mailing
12,08:06,10:08,02:01,private
13,10:08,12:19,02:11,browsing
13,12:19,14:32,02:12,browsing
13,14:32,15:42,01:10,mailing
13,15:42,19:42,03:59,private
13,19:42,37:22,17:40,meeting
13,37:22,38:13,00:50,mailing
13,38:13,42:52,04:39,browsing
13,42:52,43:53,01:00,mailing
13,43:53,31:44,47:51,meeting
13,05:01,10:09,05:08,offline
14,10:09,14:56,04:47,copyFiles
14,14:56,18:41,03:44,copyFiles
14,18:41,19:20,00:39,meeting
14,19:20,36:29,17:09,meeting
14,36:29,39:33,03:04,browsing
14,39:33,42:11,02:37,copyFiles
14,42:11,48:41,06:29,copyFiles
14,48:41,49:04,00:23,browsing
15,49:04,51:35,02:30,copyFiles
15,51:35,57:05,05:30,copyFiles
15,57:05,57:21,00:15,printing
15,57:21,57:46,00:25,printing
